A,A_1,A_1_error,A_2,A_2_error,A_3,A_3_error,A_4,A_4_error,A_5,A_5_error,A_6,A_6_error,B,B_1,B_1_error,B_2,B_2_error,B_3,B_3_error,B_4,B_4_error,B_5,B_5_error,B_6,B_6_error,C,C_1,C_1_error,C_2,C_2_error,C_3,C_3_error,C_4,C_4_error,C_5,C_5_error,C_6,C_6_error,D,D_1,D_1_error,D_2,D_2_error,D_3,D_3_error,D_4,D_4_error,D_5,D_5_error,D_6,D_6_error,E,E_1,E_1_error,E_2,E_2_error,E_3,E_3_error,E_4,E_4_error,E_5,E_5_error,E_6,E_6_error
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0,1,2,1,2,2,0,2,0,2,0,2,3,1,2,0,3,1,2,0,2,0,2,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0
0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,2,3,3,0,2,3,2,3,2,3,3,0
1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,0,1,0,1,0,2,1,2,1,2,1,2,2,0,2,0,2,0,2,0,2,0,2,0,1,2,1,2,1,2,1,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,3,1,3,1,2,0,2,0,2,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,1,0,1,0,1,0
2,2,0,2,0,2,0,2,0,2,0,2,0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,0,1,0,1,0,1,1,0,1,0,1,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,2,1,2,1,2,1,2,1,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0,3,1,3,1,3,1,3,1,3,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0,3,1,2,0,3,1,3,1,3,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,3,0,3,0,3,0,3,0,3,0,3,0,2,2,0,2,0,2,0,2,0,2,0,2,0,3,3,0,3,0,3,0,3,0,3,0,3,0
1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,1,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,3,0,3,0,3,0,3,0,3,0,3,0
3,2,3,3,0,2,3,2,3,2,3,2,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,2,1,2,1,2,1,2,1,2,1,2,1
3,3,0,3,0,3,0,2,3,2,3,2,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,2,3,3,0,2,3,2,3,2,3
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,1,0,2,1,2,3,1,3,1,3,1,3,1,3,1,3,1,1,2,1,2,1,2,1,2,1,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,2,1,1,0,2,1,2,1,2,1
2,3,1,2,0,3,1,3,1,3,1,3,1,2,1,2,1,2,1,2,2,0,2,0,2,0,1,2,1,2,1,2,1,1,0,1,0,1,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,2,1,2,1,2,1,2,1,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,2,1,1,0,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,0,1,2,1,2,2,0,2,0,2,0,2,0,3,1,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0
2,3,1,3,1,3,1,2,0,2,0,2,0,2,1,2,1,2,1,2,2,0,2,0,2,0,1,2,1,1,0,1,0,1,0,1,0,1,0,3,3,0,3,0,3,0,3,0,3,0,3,0,2,2,0,2,0,2,0,1,2,1,2,1,2
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,3,1,3,1,3,1,3,1,3,1,3,1,1,2,1,2,1,2,1,2,1,2,1,2,1
1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,2,3,1,3,1,3,1,2,0,2,0,2,0,1,1,0,2,1,1,0,2,1,2,1,2,1,2,3,1,2,0,3,1,3,1,3,1,3,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,1,2,1,2,1,2,1,2,1,2
3,1,6,2,3,2,3,2,3,2,3,2,3,2,3,1,3,1,3,1,3,1,3,1,3,1,2,2,0,2,0,2,0,2,0,2,0,2,0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1
3,2,3,3,0,2,3,1,6,1,6,2,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,1,0,1,0,1,0,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,3,1,3,1,3,1,3,1,3,1,3,3,0,3,0,3,0,3,0,3,0,3,0,2,3,1,3,1,3,1,3,1,3,1,3,1,1,1,0,1,0,1,0,1,0,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,1,0,2,1,0,1,0,1,0,1,2,3,1,3,1,3,1,3,1,3,1,3,1,1,0,1,0,1,0,1,2,1,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0
1,2,1,1,0,2,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,3,1,2,0,3,1,2,0,2,0,2,0,1,2,1,2,1,2,1,2,1,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,1,0,2,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0
3,1,6,2,3,2,3,2,3,2,3,2,3,2,3,1,3,1,3,1,3,1,3,1,3,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,3,3,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,0,1,2,1,2,1,3,3,2,1,3,3,2,3,1,3,1,3,1,3,1,3,1,3,1,2,1,2,2,0,2,0,2,0,2,0,2,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,3,1,2,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,1,0,2,1,2,1,2,1,2,1,2,3,1,3,1,3,1,3,1,3,1,3,1,1,0,1,0,1,0,1,1,0,1,0,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,1,2,1,2,1,2,2,1,2,0,4,1,2,1,2,1,2,1,2
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0,2,0,2,0,2,0,2,0,2,0,1,1,0,1,0,1,0,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,1,1,0,1,0,1,0,2,1,2,1,2,1,2,2,0,2,0,2,0,2,0,2,0,2,0
2,3,1,3,1,2,0,2,0,2,0,2,0,1,1,0,1,0,1,0,1,0,2,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1
1,2,1,2,1,2,1,2,1,3,3,2,1,3,3,0,3,0,3,0,3,0,3,0,3,0,2,2,0,2,0,2,0,3,1,3,1,3,1,3,3,0,3,0,3,0,3,0,3,0,3,0,1,1,0,1,0,2,1,2,1,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,3,2,3,2,3,2,3,2,3,2,3,3,0
1,3,3,3,3,2,1,3,3,3,3,3,3,2,3,1,3,1,3,1,3,1,3,1,3,1,2,2,0,2,0,2,0,2,0,2,0,2,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,3,3,3,3,3,3,2,1,2,1,3,3
2,2,0,2,0,3,1,2,0,2,0,2,0,3,3,0,3,0,3,0,3,0,3,0,3,0,2,2,0,2,0,1,2,2,0,2,0,2,0,1,2,1,2,1,1,0,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1
3,3,0,3,0,3,0,3,0,3,0,3,0,2,3,1,3,1,3,1,3,1,3,1,3,1,2,2,0,2,0,2,0,2,0,2,0,2,0,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,0,2,0,2,0,2,0,2,0,2,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,1,0,2,1,2,3,1,3,1,3,1,3,1,3,1,3,1,1,0,1,0,1,0,1,2,1,2,1,2,1
1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,3,3,2,1,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,1,2,1,2,2,0,1,1,0,1,0,1,0,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,2,1,2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,3,1,3,1,3,1
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,2,0,2,0,2,0,2,0,2,0,2,0
3,2,3,2,3,2,3,1,6,1,6,1,6,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,1,1,0,0,1,1,0,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,3,1,3,1,3,1,3,1,3,1,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,0,3,0,3,0,3,0,3,0,3,0
1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,1,0,2,1,2,1,2,1,1,0,2,2,0,3,1,3,1,2,0,2,0,2,0
